بسم	bism
يديه وتفصيل	yadaihi wa tafṣīl
أم يقولون افتراه	am yaqụlụnaftarāh
من استطعتم	manistaṭa’tum
يحيطوا بعلمه	yuḥīṭụ bi’ilmih
عاقبة الظالمين	‘āqibatuẓ-ẓālimīn
أنفسهم يظلمون	anfusahum yaẓlimụn
النهار يتعارفون	an-nahāri yata’ārafụn
قد خسر	qad khasir
نعدهم أو نتوفينك	na’iduhum au natawaffayannak
ولكل أمة رسول	wa likulli ummatir rasụl
قضي بينهم بالقسط	quḍiya bainahum bil-qisṭ
متى هذا الوعد	matā hāżal-wa’d
ضرا ولا نفعا	ḍarraw wa lā naf’ā
لكل أمة أجل	likulli ummatin ajal
ساعة ولا يستقدمون	sā’ataw wa lā yastaqdimụn
بياتا أو نهارا 	bayātan au nahārā 
وقع آمنتم	waqa’a āmantum
به تستعجلون	bihī tasta’jilụn
عذاب الخلد	‘ażābal-khuld
هل تجزون	hal tujzaun
ويستنبئونك أحق هو	wa yastambi`ụnaka aḥaqqun hụ
إي وربي	ī wa rabbī
بمعجزين	bimu’jizīn
لافتدت به	laftadat bih
وأسروا الندامة	wa asarrun-nadāmah
وقضي بينهم	wa quḍiya bainahum
ولكن أكثرهم	wa lākinna akṡarahum
ربكم وشفاء	rabbikum wa syifā`
فبذلك فليفرحوا	fa biżālika falyafraḥụ
حراما وحلالا	ḥarāmaw wa halālā
آلله أذن لكم	āllāhu ażina lakum
الذين يفترون	allażīna yaftarụn
شهودا إذ تفيضون	syuhụdan iż tufīḍụn
وما يعزب عن	wa mā ya’zubu ‘an
كانوا يتقون	kānụ yattaqụn
لهم البشرى	lahumul-busyr
تبديل لكلمات	tabdīla likalimāt
يحزنك قولهم	yaḥzungka qauluhum
العزة لله جميعا	al-‘izzata lillāhi jamī’ā
يدعون من دون	yad’ụna min dụn
إن يتبعون	iy yattabi’ụn
الليل لتسكنوا	al-laila litaskunụ
النهار مبصرا	an-nahāra mubṣirā
لقوم يسمعون	liqaumiy yasma’ụn
ولدا سبحانه	waladan sub-ḥānah
هو الغني	huwal-ganiyy
سلطان بهذا	sulṭānim bihāżā
أتقولون على	a taqụlụna ‘alā
إن الذين يفترون	innallażīna yaftarụn
نذيقهم العذاب	nużīquhumul-‘ażāb
نبأ نوح	naba`a nụḥ
غمة ثم اقضوا	gummatan ṡummaqḍū
فما سألتكم	fa mā sa`altukum
وأمرت أن أكون	wa umirtu an akụn
فكذبوه فنجيناه	fa każżabụhu fa najjaināh
عاقبة المنذرين	‘āqibatul-munżarīn
ثم بعثنا	ṡumma ba’aṡnā
قلوب المعتدين	qulụbil-mu’tadīn
بآياتنا فاستكبروا	bi`āyātinā fastakbarụ
لسحر مبين	lasiḥrum mubīn
أتقولون للحق	a taqụlụna lil-ḥaqq
أسحر هذا	a siḥrun hāżā
يفلح الساحرون	yufliḥus-sāḥirụn
أجئتنا لتلفتنا	a ji`tanā litalfitanā
لكما بمؤمنين	lakumā bimu`minīn
فرعون ائتوني	fir’aunu`tụnī
جاء السحرة	jā`as-saḥarah
جئتم به السحر	ji`tum bihis-siḥr
الله سيبطله	allāha sayubṭiluh
عمل المفسدين	‘amalal-mufsidīn
يحق الله الحق	yuḥiqqullāhul-ḥaqq
ذرية من قومه	żurriyyatum ming qaumih
لعال في الأرض	la’ālin fil-arḍ
لمن المسرفين	laminal-musrifīn
فعليه توكلوا	fa ‘alaihi tawakkalū
توكلنا	tawakkalnā
تجعلنا فتنة	rabbanā lā taj’alnā fitnatal lil-qaumiẓ-ẓālimīn
ونجنا برحمتك	wa najjinā biraḥmatika minal-qaumil-kāfirīn
بمصر بيوتا	bimiṣra buyụtā
وملأه زينة وأموالا	wa mala`ahụ zīnataw wa amwālā
ربنا ليضلوا	rabbanā liyuḍillụ
ربنا اطمس	rabbanaṭmis
أجيبت دعوتكما	ujībad da’watukumā
وجنوده بغيا	wa junụduhụ bagyā
أدركه الغرق	adrakahul-garaq
وقد عصيت	wa qad ‘aṣait
ننجيك ببدنك	nunajjīka bibadanik
آياتنا لغافلون	āyātinā lagāfilụn
مبوأ صدق	mubawwa`a ṣidq
فما اختلفوا	famakhtalafụ
يقضي بينهم	yaqḍī bainahum
كنت في شك	kunta fī syakk
من الممترين	minal-mumtarīn
من الخاسرين	minal-khāsirīn
حقت عليهم كلمت	ḥaqqat ‘alaihim kalimat
يروا العذاب الأليم	yarawul-‘ażābal-alīm
قوم يونس	qauma yụnus
عذاب الخزي	‘ażābal-khizy
كلهم جميعا	kulluhum jamī’ā
أفأنت تكره	a fa anta tukrih
لنفس أن	linafsin an
ويجعل الرجس	wa yaj’alur-rijs
قل انظروا	qulinẓurụ
تغني الآيات	tugnil-āyāt
مثل أيام	miṡla ayyām
قل فانتظروا	qul fantaẓirū
ننجي رسلنا	nunajjī rusulanā
ننج المؤمنين	nunjil-mu`minīn
يتوفاكم وأمرت	yatawaffākum wa umirt
للدين حنيفا	lid-dīni ḥanīfā
ينفعك ولا يضرك	yanfa’uka wa lā yaḍurruk
فإن فعلت فإنك	fa in fa’alta fa innak
بضر فلا كاشف	biḍurrin fa lā kāsyif
راد لفضله	rādda lifaḍlih
يصيب به	yuṣību bih
جاءكم الحق	jā`akumul-ḥaqq
يهتدي لنفسه	yahtadī linafsih
فإنما يضل	fa innamā yaḍill
عليكم بوكيل	‘alaikum biwakīl
واصبر حتى	waṣbir ḥattā
خير الحاكمين	khairul-ḥākimīn
كتاب أحكمت آياته	kitābun uḥkimat āyātuh
ألا تعبدوا	allā ta’budū
نذير وبشير	nażīruw wa basyīr
متاعا حسنا	matā’an ḥasanā
يوم كبير	yauming kabīr
مرجعكم	marji’ukum
يثنون صدورهم	yaṡnụna ṣudụrahum
يستغشون ثيابهم	yastagsyụna ṡiyābahum
مستقرها ومستودعها	mustaqarrahā wa mustauda’ahā
كتاب مبين	kitābim mubīn
الماء ليبلوكم	al-mā`i liyabluwakum
إنكم مبعوثون	innakum mab’ụṡụn
معدودة ليقولن	ma’dụdatil layaqụlunn
ليس مصروفا	laisa maṣrụfā
منا رحمة	minnā raḥmah
ليئوس كفور	laya`ụsung kafụr
أذقناه نعماء	ażaqnāhu na’mā`
لفرح فخور	lafariḥun fakhụr
صبروا وعملوا	ṣabarụ wa ‘amilụ
وأجر كبير	wa ajrung kabīr
فلعلك تارك	fa la’allaka tārik
أنت نذير	anta nażīr
مثله مفتريات	miṡlihī muftarayāt
فإلم يستجيبوا	fa il lam yastajībụ
نوف إليهم	nuwaffi ilaihim
وحبط ما صنعوا	wa ḥabiṭa mā ṣana’ụ
ويتلوه شاهد	wa yatlụhu syāhid
فالنار موعده	fan-nāru mau’iduh
الأشهاد هؤلاء	a-asy-hādu hā`ulā`
ألا لعنة	alā la’nah
ويبغونها عوجا	wa yabgụnahā ‘iwajā
هم كافرون	hum kāfirụn
يكونوا معجزين	yakụnụ mu’jizīn
يضاعف لهم	yuḍā’afu lahum
يستطيعون السمع	yastaṭī’ụnas-sam’
خسروا أنفسهم	khasirū anfusahum
هم الأخسرون	humul-akhsarụn
وأخبتوا إلى	wa akhbatū ilā
كالأعمى والأصم	kal-a’mā wal-aṣamm
يستويان مثلا	yastawiyāni maṡalā
يوم أليم	yaumin alīm
أراذلنا بادي الرأي	arāżilunā bādiyar-ra`y
نظنكم كاذبين	naẓunnukum kāżibīn
فعميت عليكم	fa ‘ummiyat ‘alaikum
أنلزمكموها وأنتم	a nulzimukumụhā wa antum
لا أسألكم	lā as`alukum
أنا بطارد	ana biṭārid
ملاقو ربهم	mulāqụ rabbihim
من ينصرني	may yanṣurunī
تزدري أعينكم	tazdarī a’yunukum
في أنفسهم	fī anfusihim
إذا لمن	iżal lamin
جادلتنا فأكثرت	jādaltana fa akṡart
أنتم بمعجزين	antum bimu’jizīn
أردت أن أنصح	arattu an anṣaḥ
فعلي إجرامي	fa ‘alayya ijrāmī
تبتئس بما	tabta`is bimā
واصنع الفلك	waṣna’il-fulk
إنهم مغرقون	innahum mugraqụn
ويصنع الفلك	wa yaṣna’ul-fulk
عليه ملأ	‘alaihi mala`
تسخروا منا	taskharụ minnā
يخزيه ويحل	yukhzīhi wa yaḥill
وفار التنور	wa fārat-tannụr
معه إلا قليل	ma’ahū illā qalīl
موج كالجبال	maujing kal-jibāl
معزل يا	ma’ziliy yā
جبل يعصمني	jabaliy ya’ṣimunī
عاصم اليوم	‘āṣimal-yaum
الموج فكان	al-mauju fa kān
أرض ابلعي ماءك	arḍubla’ī mā`ak
إن ابني من	innabnī min
أحكم الحاكمين	aḥkamul-ḥākimīn
ليس من أهلك	laisa min ahlik
صالح فلا تسألن	ṣāliḥin fa lā tas`aln
أعظك أن تكون	a’iẓuka an takụn
أسألك ما ليس	as`alaka mā lais
وترحمني أكن	wa tar-ḥamnī akun
نوح اهبط بسلام	nụḥuhbiṭ bisalām
وأمم سنمتعهم	wa umamun sanumatti’uhum
أنباء الغيب	ambā`il-gaib
تعلمها أنت	ta’lamuhā ant
فاصبر	faṣbir
العاقبة للمتقين	al-‘āqibata lil-muttaqīn
عاد أخاهم	‘ādin akhāhum
قوم اعبدوا	qaumi’budụ
إلا مفترون	illā muftarụn
أسألكم عليه	as`alukum ‘alaih
الذي فطرني	‘alallażī faṭaranī
تتولوا مجرمين	tatawallau mujrimīn
جئتنا ببينة	ji`tanā bibayyinah
إلا اعتراك بعض	illa’tarāka ba’ḍ
واشهدوا أني بريء	wasy-hadū annī barī`
دونه فكيدوني	dụnihī fa kīdụn
إني توكلت على	innī tawakkaltu ‘alā
آخذ بناصيتها	ākhiżum bināṣiyatihā
على صراط	‘alā ṣirāṭ
فقد أبلغتكم	fa qad ablagtukum
ويستخلف ربي	wa yastakhlifu rabbī
تضرونه شيئا	taḍurrụnahụ syai`ā
شيء حفيظ	syai`in ḥafīẓ
أمرنا نجينا هودا	amrunā najjainā hụdā
عذاب غليظ	‘ażābin galīẓ
واتبعوا أمر	wattaba’ū amr
الدنيا لعنة	ad-dun-yā la’nah
عادا كفروا	‘ādang kafarụ
بعدا لعاد	bu’dal li’ād
أخاهم صالحا	akhāhum ṣāliḥā
واستعمركم فيها	wasta’marakum fīhā
قريب مجيب	qarībum mujīb
آباؤنا وإننا	ābā`unā wa innanā
أرأيتم إن	a ra`aitum in
فمن ينصرني	fa may yanṣurunī
غير تخسير	gaira takhsīr
تمسوها بسوء	tamassụhā bisū`
داركم ثلاثة أيام	dārikum ṡalāṡata ayyām
وعد غير مكذوب	wa’dun gairu makżụb
نجينا صالحا	najjainā ṣāliḥā
القوي العزيز	al-qawiyyul-‘azīz
ظلموا الصيحة	ẓalamuṣ-ṣaiḥah
يغنوا فيها	yagnau fīhā
ثمود كفروا	ṡamụda kafarụ
بعدا لثمود	bu’dal liṡamụd
بالبشرى قالوا سلاما	bil-busyrā qālụ salāmā
جاء بعجل حنيذ	jā`a bi’ijlin ḥanīż
قوم لوط	qaumi lụṭ
فضحكت فبشرناها	fa ḍaḥikat fa basysyarnāhā
ويلتى أألد	wailatā a alid
وأنا عجوز	wa ana ‘ajụz
لشيء عجيب	lasyai`un ‘ajīb
قالوا أتعجبين	qālū a ta’jabīn
حميد مجيد	ḥamīdum majīd
الروع وجاءته	ar-rau’u wa jā`at-h
لحليم أواه منيب	laḥalīmun awwāhum munīb
إبراهيم أعرض	ibrāhīmu a’riḍ
جاء أمر ربك	jā`a amru rabbik
غير مردود	gairu mardụd
وضاق بهم ذرعا	wa ḍāqa bihim żar’ā
قومه يهرعون	qaumuhụ yuhra’ụn
يعملون السيئات	ya’malụnas-sayyi`āt
هؤلاء بناتي	hā`ulā`i banatī
رجل رشيد	rajulur rasyīd
علمت ما	‘alimta mā
لتعلم ما نريد	lata’lamu mā nurīd
آوي إلى ركن	āwī ilā rukn
بأهلك بقطع	bi`ahlika biqiṭ’
مصيبها ما أصابهم	muṣībuhā mā aṣābahum
موعدهم الصبح	mau’idahumuṣ-ṣub-h
الصبح بقريب	aṣ-ṣub-ḥu biqarīb
سجيل منضود	sijjīlim manḍụd
مسومة عند ربك	musawwamatan ‘inda rabbik
الظالمين ببعيد	aẓ-ẓālimīna biba’īd
أخاهم شعيبا	akhāhum syu’aibā
تنقصوا المكيال	tangquṣul-mikyāl
أوفوا المكيال	auful-mikyāl
بقيت الله	baqiyyatullāh
عليكم بحفيظ	‘alaikum biḥafīẓ
شعيب أصلاتك	syu’aibu a ṣalātuk
الحليم الرشيد	al-ḥalīmur-rasyīd
ما أنهاكم عنه	mā an-hākum ‘an-h
الإصلاح ما استطعت	al-iṣlāḥa mastaṭa’t
وما توفيقي	wa mā taufīqī
وإليه أنيب	wa ilaihi unīb
يجرمنكم شقاقي	yajrimannakum syiqāqī
ببعيد	biba’īd
واستغفروا	wastagfirụ
رحيم ودود	raḥīmuw wadụd
فينا ضعيفا	fīnā ḍa’īfā
رهطك لرجمناك	rahṭuka larajamnāk
أرهطي أعز	a rahṭī a’azz
وراءكم ظهريا	warā`akum ẓihriyyā
تعملون محيط	ta’malụna muḥīṭ
قوم اعملوا	qaumi’malụ
يأتيه عذاب	ya`tīhi ‘ażāb
معكم رقيب	ma’akum raqīb
نجينا شعيبا	najjainā syu’aibā
ظلموا الصيحة	ẓalamuṣ-ṣaiḥah
يغنوا فيها	yagnau fīhā
بعدا لمدين	bu’dal limadyan
وسلطان مبين	wa sulṭānim mubīn
وملئه فاتبعوا	wa mala`ihī fattaba’ū
فرعون برشيد	fir’auna birasyīd
فأوردهم النار	fa auradahumun-nār
الورد المورود	al-wirdul-maurụd
لعنة ويوم	la’nataw wa yaum
الرفد المرفود	ar-rifdul-marfụd
قائم وحصيد	qā`imuw wa ḥaṣīd
آلهتهم التي	ālihatuhumullatī
غير تتبيب	gaira tatbīb
أخذ القرى	akhażal-qurā
أخذه أليم	akhżahū alīm
لمن خاف	liman khāf
يوم مشهود	yaumum masy-hụd
لأجل معدود	li`ajalim ma’dụd
إلا بإذنه	illā bi`iżnih
شقي وسعيد	syaqiyyuw wa sa’īd
زفير وشهيق	zafīruw wa syahīq
دامت السماوات	dāmatis-samāwāt
فعال لما	fa”ālul limā
سعدوا ففي	su’idụ fa fī
غير مجذوذ	gaira majżụż
يعبد هؤلاء	ya’budu hā`ulā`
يعبد آباؤهم	ya’budu ābā`uhum
غير منقوص	gaira mangqụṣ
فاختلف فيه	fakhtulifa fīh
كلمة سبقت	kalimatun sabaqat
منه مريب	min-hu murīb
ربك أعمالهم	rabbuka a’mālahum
معك ولا تطغوا	ma’aka wa lā taṭgau
ظلموا فتمسكم	ẓalamụ fa tamassakum
طرفي النهار	ṭarafayin-nahār
يذهبن السيئات	yuż-hibnas-sayyi`āt
ذكرى للذاكرين	żikrā liż-żākirīn
يضيع أجر	yuḍī’u ajr
أولو بقية ينهون	ulụ baqiyyatiy yan-haun
ظلموا ما أترفوا	ẓalamụ mā utrifụ
ليهلك القرى	liyuhlikal-qurā
يزالون مختلفين	yazālụna mukhtalifīn
رحم ربك	raḥima rabbuk
ولذلك خلقهم	wa liżālika khalaqahum
ربك لأملأن	rabbika la`amla`ann
فؤادك وجاءك	fu`ādaka wa jā`ak
يؤمنون اعملوا	yu`minụna’malụ
إنا عاملون	innā ‘āmilụn
وانتظروا	wantaẓirụ
إنا منتظرون	innā muntaẓirụn
يرجع الأمر 	yurja’ul-amr
ربك بغافل	rabbuka bigāfil
تلك آيات	tilka āyāt
قرآنا عربيا	qur`ānan ‘arabiyyā
لمن الغافلين	laminal-gāfilīn
يوسف لأبيه	iż qāla yụsufu li`abīhi yā abati innī ra`aitu aḥada ‘asyara kaukabaw wasy-syamsa wal-qamara ra`aituhum lī sājidīn
تقصص رؤياك	taqṣuṣ ru`yāk
الشيطان للإنسان	asy-syaiṭāna lil-insān
تأويل الأحاديث	ta`wīlil-aḥādīṡ
آيات للسائلين	āyātul lis-sā`ilīn
ونحن عصبة	wa naḥnu ‘uṣbah
أبانا لفي	abānā lafī
أو اطرحوه أرضا	awiṭraḥụhu arḍā
غيابت الجب يلتقطه	gayābatil-jubbi yaltaqiṭ-h
لك لا تأمنا	laka lā ta`mann
غدا يرتع	gaday yarta’
يأكله الذئب	ya`kulahuż-żi`b
الذئب ونحن	aż-żi`bu wa naḥn
به وأجمعوا	bihī wa ajma’ū
لتنبئنهم بأمرهم	latunabbi`annahum bi`amrihim
عشاء يبكون	‘isyā`ay yabkụn
ذهبنا نستبق	żahabnā nastabiq
كنا صادقين	kunnā ṣādiqīn
قميصه بدم	qamīṣihī bidam
بل سولت	bal sawwalat
فصبر جميل	fa ṣabrun jamīl
سيارة فأرسلوا	sayyāratun fa arsalụ
بشرى هذا غلام	busyrā hāżā gulām
وأسروه بضاعة	wa asarrụhu biḍā’ah
دراهم معدودة 	darāhima ma’dụdah
من الزاهدين	minaz-zāhidīn
أكرمي مثواه	akrimī maṡwāh
تأويل الأحاديث	ta`wīlil-aḥādīṡ
ولكن أكثر	wa lākinna akṡar
بلغ أشده	balaga asyuddah
وغلقت الأبواب	wa gallaqatil-abwāb
أحسن مثواي	aḥsana maṡwāy
ولقد همت	wa laqad hammat
رأى برهان	ra`ā bur-hān
كذلك لنصرف	każālika linaṣrif
عبادنا المخلصين	‘ibādinal-mukhlaṣīn
واستبقا الباب	wastabaqal-bāb
بأهلك سوءا	bi`ahlika sū`ā
هي راودتني	hiya rāwadatnī
قبل فصدقت	qubulin fa ṣadaqat
 دبر فكذبت	duburin fa każabat
رأى قميصه	ra`ā qamīṣah
كيدكن عظيم	kaidakunna ‘aẓīm
واستغفري لذنبك	wastagfirī liżambik
المدينة امرأت	al-madīnatimra`at
شغفها حبا	syagafahā ḥubbā
إنا لنراها في	innā lanarāhā fī
لهن متكأ وآتت	lahunna muttaka`aw wa ātat
وقطعن أيديهن	wa qaṭṭa’na aidiyahunn
ملك كريم	malakung karīm
فذلكن الذي	fa żālikunnallażī
نفسه فاستعصم	nafsihī fasta’ṣam
آمره ليسجنن	āmuruhụ layusjanann
رب السجن أحب	rabbis-sijnu aḥabb
كيدهن أصب	kaidahunna aṣb
فصرف عنه	fa ṣarafa ‘an-h
الآيات ليسجننه	al-āyāti layasjununnah
السجن فتيان	as-sijna fatayān
أراني أعصر خمرا	arānī a’ṣiru khamrā
رأسي خبزا	ra`sī khubzā
نبئنا بتأويله	nabbi`nā bita`wīlih
نبأتكما بتأويله	nabba`tukumā bita`wīlih
مما علمني	mimmā ‘allamanī
تركت ملة	innī taraktu millah
ملة آبائي	millata ābā`ī ibrāhīma wa is-ḥāqa wa ya’qụb
أن نشرك بالله	an nusyrika billāh
الناس ولكن	an-nāsi wa lākin
السجن أأرباب 	as-sijni a arbābā
أسماء سميتموها	asmā`an sammaitumụhā
الحكم إلا	al-ḥukmu illā
أمر ألا تعبدوا	amara allā ta’budū
ذلك الدين	żālikad-dīn
السجن أما	as-sijni ammā
فيصلب فتأكل	fa yuṣlabu fa ta`kul
فيه تستفتيان	fīhi tastaftiyān
فأنساه الشيطان	fa ansāhusy-syaiṭān
سبع بقرات	sab’a baqarāt
الملأ أفتوني	al-mala`u aftụnī
أضغاث أحلام	aḍgāṡu aḥlām
بتأويل الأحلام	bita`wīlil-aḥlām
وادكر بعد	waddakara ba’d
أيها الصديق	ayyuhaṣ-ṣiddīq
سنين دأبا	sinīna da`abā
حصدتم فذروه	ḥaṣattum fa żarụh
سبع شداد	sab’un syidād
فيه يغاث	fīhi yugāṡ
الملك ائتوني	al-maliku`tụnī
بال النسوة اللاتي	bālun-niswatillātī
ربي بكيدهن	rabbī bikaidihinn
خطبكن إذ راودتن	khaṭbukunna iż rāwattunn
قلن حاش	qulna ḥāsy
الآن حصحص	al-āna ḥaṣ-ḥaṣ
أخنه بالغيب	akhun-hu bil-gaib
أبرئ نفسي	ubarri`u nafsī
النفس لأمارة	an-nafsa la`ammārah
ائتوني به أستخلصه	u`tụnī bihī astakhliṣ-h
مكين أمين	makīnun amīn
خزائن الأرض	khazā`inil-arḍ
إني حفيظ	innī ḥafīẓ
يتبوأ منها	yatabawwa`u min-hā
نصيب برحمتنا	nuṣību biraḥmatinā
ولأجر الآخرة	wa la`ajrul-ākhirah
يوسف فدخلوا	yụsufa fa dakhalụ
قال ائتوني بأخ لكم	qāla`tụnī bi`akhil lakum
ألا ترون أني	alā tarauna annī
تأتوني به	ta`tụnī bih
سنراود عنه	sanurāwidu ‘an-h
إذا انقلبوا	iżangqalabū
أخانا نكتل	akhānā naktal
كما أمنتكم	kamā amintukum
خير حافظا	khairun ḥāfiẓā
وجدوا بضاعتهم	wajadụ biḍā’atahum
أبانا ما نبغي	abānā mā nabgī
ونزداد كيل بعير	wa nazdādu kaila ba’īr
كيل يسير	kailuy yasīr
تؤتون موثقا	tu`tụni mauṡiqā
نقول وكيل	naqụlu wakīl
أبواب متفرقة	abwābim mutafarriqah
أغني عنكم	ugnī ‘angkum
إن الحكم	inil-ḥukm
فليتوكل المتوكلون	falyatawakkalil-mutawakkilụn
أمرهم أبوهم	amarahum abụhum
يعقوب قضاها	ya’qụba qaḍāhā
لما علمناه	limā ‘allamnāh
أنا أخوك فلا	ana akhụka fa lā
جعل السقاية	ja’alas-siqāyah
ماذا تفقدون	māżā tafqidụn
نفقد صواع	nafqidu ṣuwā’
جئنا لنفسد	ji`nā linufsid
كنتم كاذبين	kuntum kāżibīn
جزاؤه من وجد	jazā`uhụ maw wujid
كذلك نجزي	każālika najzī
فبدأ بأوعيتهم	fa bada`a bi`au’iyatihim
كدنا ليوسف	kidnā liyụsuf
ليأخذ أخاه	liya`khuża akhāh
نرفع درجات	narfa’u darajāt
فوق كل ذي	fauqa kulli żī
سرق أخ	saraqa akh
فأسرها يوسف	fa asarrahā yụsuf
شر مكانا	syarrum makānā
بما تصفون	bimā taṣifụn
شيخا كبيرا	syaikhang kabīrā
إنا نراك من	innā narāka min
وجدنا متاعنا	wajadnā matā’anā
خلصوا نجيا	khalaṣụ najiyyā
أخذ عليكم موثقا	akhaża ‘alaikum mauṡiqā
خير الحاكمين	khairul-ḥākimīn
إن ابنك سرق	innabnaka saraq
للغيب حافظين	lil-gaibi ḥāfiẓīn
واسأل القرية	was`alil-qaryah
وإنا لصادقون	wa innā laṣādiqụn
بل سولت	bal sawwalat
فصبر جميل	fa ṣabrun jamīl
أن يأتيني	ay ya`tiyanī
وابيضت عيناه	wabyaḍḍat ‘aināh
تفتأ تذكر	tafta`u tażkur
أشكو بثي	asykụ baṡṡī
بني اذهبوا فتحسسوا	baniyyaż-habụ fa taḥassasụ
لا ييأس	lā yai`as
مزجاة فأوف لنا	muzjātin fa aufi lanā
يجزي المتصدقين	yajzil-mutaṣaddiqīn
فعلتم بيوسف	fa’altum biyụsuf
أإنك لأنت يوسف	a innaka la`anta yụsuf
هذا أخي قد	hāżā akhī qad
يتق ويصبر	yattaqi wa yaṣbir
كنا لخاطئين	kunnā lakhāṭi`īn
لا تثريب	lā taṡrīb
أرحم الراحمين	ar-ḥamur-rāḥimīn
اذهبوا بقميصي	iż-habụ biqamīṣī
وأتوني بأهلكم	wa`tụnī bi`ahlikum
فصلت العير	faṣalatil-‘īr
ضلالك القديم	ḍalālikal-qadīm
البشير ألقاه	al-basyīru alqāh
إني أعلم	innī a’lam
يا أبانا استغفر لنا	yā abānastagfir lanā
 سوف أستغفر	saufa astagfir
قال ادخلوا مصر	qāladkhulụ miṣr
ورفع أبويه	wa rafa’a abawaih
تأويل رؤياي	ta`wīlu ru`yāyā
بين إخوتي	baina ikhwatī
لطيف لما	laṭīful limā
تأويل الأحاديث	ta`wīlil-aḥādīṡ
أنت وليي	anta waliyyī
ألحقني بالصالحين	al-ḥiqnī biṣ-ṣāliḥīn
أنباء الغيب	ambā`il-gaib
أجمعوا أمرهم	ajma’ū amrahum
حرصت بمؤمنين	ḥaraṣta bimu`minīn
تسألهم عليه	tas`aluhum ‘alaih
ذكر للعالمين	żikrul lil-‘ālamīn
عنها معرضون	‘an-hā mu’riḍụn
يؤمن أكثرهم	yu`minu akṡaruhum
تأتيهم غاشية	ta`tiyahum gāsyiyah
سبيلي أدعو	sabīlī ad’ū
أنا من المشركين	ana minal-musyrikīn
رجالا نوحي	rijālan nụḥī
أفلم يسيروا	a fa lam yasīrụ
للذين اتقوا	lillażīnattaqau
إذا استيأس الرسل	iżastai`asar-rusul
يرد بأسنا	yuraddu ba`sunā
قصصهم عبرة	qaṣaṣihim ‘ibrah
حديثا يفترى	ḥadīṡay yuftarā
آيات الكتاب	āyātul-kitāb
ربك الحق	rabbikal-ḥaqq
بغير عمد	bigairi ‘amad
لأجل مسمى	li`ajalim musammā
لعلكم بلقاء	la’allakum biliqā`
رواسي وأنهارا	rawāsiya wa an-hārā
زوجين اثنين	zaujainiṡnain
صنوان يسقى	ṣinwāniy yusqā
أإذا كنا ترابا أإنا	a iżā kunnā turāban a innā
وأولئك الأغلال	wa ulā`ikal-aglāl
قبلهم المثلات	qablihimul-maṡulāt
لذو مغفرة	lażụ magfirah
لشديد العقاب	lasyadīdul-‘iqāb
قوم هاد	qaumin hād
تغيض الأرحام	tagīḍul-ar-ḥām
عنده بمقدار	‘indahụ bimiqdār
الكبير المتعال	al-kabīrul-muta’āl
بالليل وسارب	bil-laili wa sārib
له معقبات من	lahụ mu’aqqibātum min
حتى يغيروا	ḥattā yugayyirụ
سوءا فلا مرد	sū`an fa lā maradd
من وال	miw wāl
وطمعا وينشئ	wa ṭama’aw wa yunsyi`
ويسبح الرعد	wa yusabbiḥur-ra’d
ويرسل الصواعق	wa yursiluṣ-ṣawā’iq
شديد المحال	syadīdul miḥāl
دعوة الحق	da’watul-ḥaqq
كباسط كفيه	kabāsiṭi kaffaih
دعاء الكافرين	du’ā`ul-kāfirīn
بالغدو والآصال	bil-guduwwi wal-āṣāl
نفعا ولا ضرا	naf’aw wa lā ḍarrā
تستوي الظلمات	tastawiẓ-ẓulumāt
كخلقه فتشابه	kakhalqihī fa tasyābah
الواحد القهار	al-wāḥidul-qahhār
أودية بقدرها	audiyatum biqadarihā
النار ابتغاء حلية	an-nāribtigā`a ḥilyah
الحق والباطل	al-ḥaqqa wal-bāṭil
الزبد فيذهب	az-zabadu fa yaż-hab
الناس فيمكث	an-nāsa fa yamkuṡ
يضرب الله الأمثال	yaḍribullāhul-amṡāl
للذين استجابوا لربهم	lillażīnastajābụ lirabbihim
لافتدوا به	laftadau bih
ومأواهم جهنم	wa ma`wāhum jahannam
وبئس المهاد	wa bi`sal-mihād
كمن هو أعمى	kaman huwa a’mā
إنما يتذكر	innamā yatażakkar
ينقضون الميثاق	yangquḍụnal-mīṡāq
يوصل ويخشون	yụṣala wa yakhsyaun
وعلانية ويدرءون	wa ‘alāniyataw wa yadra`ụn
وذرياتهم والملائكة	wa żurriyyātihim wal-malā`ikah
صبرتم فنعم	ṣabartum fa ni’m
ميثاقه ويقطعون	mīṡāqihī wa yaqṭa’ụn
يشاء ويقدر	yasyā`u wa yaqdir
وفرحوا بالحياة	wa fariḥụ bil-ḥayāh
إلا متاع	illā matā’
لولا أنزل عليه	lau lā unzila ‘alaih
يشاء ويهدي	yasyā`u wa yahdī
وتطمئن قلوبهم	wa taṭma`innu qulụbuhum
تطمئن القلوب	taṭma`innul-qulụb
الصالحات طوبى	aṣ-ṣāliḥāti ṭụbā
أمم لتتلو عليهم	umamul litatluwā ‘alaihim
وإليه متاب	wa ilaihi matāb
قرآنا سيرت	qur`ānan suyyirat
الأمر جميعا	al-amru jamī’ā
أفلم ييأس	a fa lam yai`as
صنعوا قارعة	ṣana’ụ qāri’ah
فكيف كان عقاب	fa kaifa kāna ‘iqāb
أفمن هو قائم	a fa man huwa qā`im
لله شركاء	lillāhi syurakā`
قل سموهم	qul sammụhum
أم تنبئونه	am tunabbi`ụnah
مكرهم وصدوا	makruhum wa ṣuddụ
